food_item,calories,protein,carbs,fats,saturated_fat,fiber,category,type
Corn n Cheese (Personal),432.6,17.91,65.64,10.93,5.14,3.85,All Meals,veg
Country Feast (Personal),407.6,16.73,67.11,8.03,3.24,7.19,All Meals,veg
Double Cheese (Personal),423.33,18.26,59.97,12.27,5.23,3.49,All Meals,veg
Double Paneer Supreme (Personal),474.03,20.07,52.86,20.26,9.25,3.79,All Meals,veg
Farmer`s Pick (Personal),408.16,19.91,53.93,12.53,4.9,2.46,All Meals,veg
Margherita (Personal),361.73,15.93,50.69,10.58,3.86,4.08,All Meals,veg
Spiced Paneer (Personal),408.01,21.68,47.54,14.57,8.02,6.92,All Meals,veg
Tandoori Onion (Personal),410.16,15.08,57.14,13.48,4.52,1.33,All Meals,veg
Tandoori Paneer (Personal),532.08,17.82,76.38,17.25,6.67,7.07,All Meals,veg
Veg Exotica (Personal),363.05,13.66,55.12,9.77,3.92,4.28,All Meals,veg
Veg Kebab Surprise (Personal),520.4,24.62,63.12,18.83,6.81,5.56,All Meals,veg
Veggie Feast (Personal),408.06,17.75,60.57,10.53,4.12,4.24,All Meals,veg
Veggie Lover (Personal),411.72,17.2,56.6,12.94,5.32,3.66,All Meals,veg
Veggie Supreme (Personal),426.59,17.75,55.39,14.42,5.52,4.43,All Meals,veg
Veggie Tandoori (Personal),432.21,13.98,58.12,15.98,5.36,2.0,All Meals,veg
Momo Mia Veg (Personal),510.19,19.88,65.21,18.87,8.23,9.34,All Meals,veg
Momo Mia Chicken (Personal),516.63,22.56,64.02,18.93,7.93,9.03,All Meals,non-veg
Chicken n Corn Delight (Personal),421.56,20.75,57.38,12.11,5.11,5.84,All Meals,non-veg
Chicken Pepper Crunch (Personal),447.43,21.32,50.59,17.76,7.45,5.86,All Meals,non-veg
Chicken Pepperoni (Personal),439.17,14.85,50.41,19.79,7.79,4.74,All Meals,non-veg
Chicken Sausage (Personal),443.02,17.98,48.93,19.48,8.03,4.68,All Meals,non-veg
Chicken Supreme (Personal),445.19,23.87,47.37,17.78,6.66,5.18,All Meals,non-veg
Chicken Tikka Supreme (Personal),434.67,22.49,49.46,16.32,6.16,4.31,All Meals,non-veg
Double Chicken Sausage (Personal),445.29,18.37,49.32,19.39,7.2,5.05,All Meals,non-veg
Italian Chicken Feast (Personal),449.4,20.08,53.52,17.22,6.38,5.34,All Meals,non-veg
Malai Chicken Tikka (Personal),425.45,21.62,53.99,13.67,6.06,3.9,All Meals,non-veg
Spiced Chicken Meatball (Personal),394.79,20.84,46.12,14.11,6.88,6.64,All Meals,non-veg
Triple Chicken Feast (Personal),424.46,24.15,50.12,22.76,9.25,4.88,All Meals,non-veg
Chicken Tikka (Personal),394.73,17.56,48.43,14.53,6.18,6.83,All Meals,non-veg
Veggie Tandoori (Medium),563.14,18.22,75.72,20.82,6.98,2.6,All Meals,non-veg
Momo Mia Veg (Medium),627.36,24.44,80.18,23.21,10.13,11.49,All Meals,veg
Corn n Cheese (Medium),557.7,23.09,84.62,14.1,6.62,4.96,All Meals,veg
Country Feast (Medium),542.71,22.28,89.35,10.69,4.31,9.57,All Meals,veg
Double Cheese (Medium),542.58,23.41,76.86,15.72,6.7,4.48,All Meals,veg
Double Paneer Supreme (Medium),607.41,25.71,67.73,25.96,11.85,4.85,All Meals,veg
Farmer`s Pick (Medium),528.07,25.76,69.78,16.21,6.34,3.18,All Meals,veg
Margherita (Medium),459.03,20.22,64.32,13.43,4.9,5.18,All Meals,veg
