food_item,calories,protein,carbs,fats,saturated_fat,fiber,category
Cows' milk,660.0,32.0,48.0,40.0,36.0,0.0,Dairy products
Milk skim,360.0,36.0,52.0,0.0,0.0,0.0,Dairy products
Paneer,420.0,22.0,30.0,18.0,6.0,5.0,Dairy products
Buttermilk,127.0,9.0,13.0,5.0,4.0,0.0,Dairy products
"Evaporated, undiluted",345.0,16.0,24.0,20.0,18.0,0.0,Dairy products
Fortified milk,0.0,89.0,119.0,42.0,23.0,1.4,Dairy products
Powdered milk,515.0,27.0,39.0,28.0,24.0,0.0,Dairy products
"skim, instant",290.0,30.0,42.0,0.0,0.0,0.0,Dairy products
"skim, non-instant",290.0,30.0,42.0,0.0,0.0,1.0,Dairy products
Goats' milk,165.0,8.0,11.0,10.0,8.0,0.0,Dairy products
(1/2 cup ice cream),690.0,24.0,70.0,24.0,22.0,0.0,Dairy products
Cocoa,235.0,8.0,26.0,11.0,10.0,0.0,Dairy products
skim. milk,128.0,18.0,13.0,4.0,3.0,1.0,Dairy products
(cornstarch),275.0,9.0,40.0,10.0,9.0,0.0,Dairy products
Custard,285.0,13.0,28.0,14.0,11.0,0.0,Dairy products
Ice cream,300.0,6.0,29.0,18.0,16.0,0.0,Dairy products
Ice milk,275.0,9.0,32.0,10.0,9.0,0.0,Dairy products
Cream or half-and-half,170.0,4.0,5.0,15.0,13.0,0.0,Dairy products
or whipping,430.0,2.0,3.0,44.0,27.0,1.0,Dairy products
Cheese,240.0,30.0,6.0,11.0,10.0,0.0,Dairy products
uncreamed,195.0,38.0,6.0,0.0,0.0,0.0,Dairy products
Cheddar,70.0,4.0,0.0,6.0,5.0,0.0,Dairy products
"Cheddar, grated cup",226.0,14.0,1.0,19.0,17.0,0.0,Dairy products
Cream cheese,105.0,2.0,1.0,11.0,10.0,0.0,Dairy products
Processed cheese,105.0,7.0,0.0,9.0,8.0,0.0,Dairy products
Roquefort type,105.0,6.0,0.0,9.0,8.0,0.0,Dairy products
Swiss,105.0,7.0,0.0,8.0,7.0,0.0,Dairy products
Eggs raw,150.0,12.0,0.0,12.0,10.0,0.0,Dairy products
Eggs Scrambled or fried,220.0,13.0,1.0,16.0,14.0,0.0,Dairy products
Yolks,120.0,6.0,0.0,10.0,8.0,0.0,"Fats, Oils, Shortenings"
Butter,100.0,0.0,0.0,11.0,10.0,0.0,"Fats, Oils, Shortenings"
Butter,113.0,114.0,118.0,115.0,116.0,117.0,"Fats, Oils, Shortenings"
Butter,113.0,114.0,118.0,115.0,116.0,117.0,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,665.0,0.0,0.0,100.0,88.0,0.0,"Fats, Oils, Shortenings"
Lard,992.0,0.0,0.0,110.0,92.0,0.0,"Fats, Oils, Shortenings"
Margarine,806.0,0.0,0.0,91.0,76.0,0.0,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",100.0,0.0,0.0,11.0,9.0,0.0,"Fats, Oils, Shortenings"
Mayonnaise,110.0,0.0,0.0,12.0,5.0,0.0,"Fats, Oils, Shortenings"
Corn oil,125.0,0.0,0.0,14.0,5.0,0.0,"Fats, Oils, Shortenings"
Olive oil,125.0,0.0,0.0,14.0,3.0,0.0,"Fats, Oils, Shortenings"
Safflower seed oil,125.0,0.0,0.0,14.0,3.0,0.0,"Fats, Oils, Shortenings"
French dressing,60.0,0.0,2.0,6.0,2.0,0.0,"Fats, Oils, Shortenings"
Thousand Island sauce,75.0,0.0,1.0,8.0,3.0,0.0,"Fats, Oils, Shortenings"
Salt pork,470.0,3.0,0.0,55.0,0.0,0.0,"Meat, Poultry"
Bacon,95.0,4.0,1.0,8.0,7.0,0.0,"Meat, Poultry"
Beef,245.0,23.0,0.0,16.0,15.0,0.0,"Meat, Poultry"
Hamburger,245.0,21.0,0.0,17.0,15.0,0.0,"Meat, Poultry"
Ground lean,185.0,24.0,0.0,10.0,9.0,0.0,"Meat, Poultry"
